link,author,header,text
https://nplus1.ru/news/2022/10/21/dimorphos-second-tail,Александр Войтюк,Астероид Диморф обзавелся вторым кометоподобным хвостом,"Космический телескоп «Хаббл» зафиксировал появление у астероида Диморф второго кометоподобного хвоста из пыли и обломков. Это произошло спустя несколько дней после тарана астероида зондом DART, причины возникновения дополнительного хвоста пока неясны, сообщается на сайте телескопа. 27 сентября 2022 года 550-килограммовый зонд DART протаранил не представлявший угрозы для нашей планеты 170-метровый астероид Диморф, входящий в двойную систему Дидим. Это был первый практический эксперимент по планетарной защите Земли от опасных астероидов. В результате ученые определили, что метод кинетического тарана действительно эффективен — период вращения Диморфа вокруг Дидима изменился на 32 минуты. За тараном вели наблюдения кубсат LICIACube, наземные и околоземные обсерватории, которые зафиксировали вспышку яркости астероида, расширение пылевого облака, а затем и образование кометоподобного хвоста.  Космический телескоп «Хаббл» вел наблюдения за Диморфом после тарана в общей сложности 18 раз. На снимках астероида, полученных в период с 2 по 8 октября, ученые заметили появление второго хвоста из пыли и обломков севернее основного хвоста, что стало неожиданностью, хотя подобное явление наблюдалось у некоторых комет и активных астероидов. Пока у ученых нет объяснения причины появления второго хвоста — это может быть связано с тем, что Диморф не одиночный астероид, влиянием на выброшенный с его поверхности материал солнечного ветра, вращением астероида, а также эффектом большой рыхлости тела, которое относится к «кучам щебня». В последнем случае малая сила сцепления частиц обломочного материала, из которых состоит такой астероид, была доказана для другого представителя «куч щебня» — астероида Бенну. Подробнее о методах планетарной защиты и деталях проекта DART, можно узнать в материале «Вломи ему, Дарт!».  Астрономы при помощи космического телескопа Gaia и наземных телескопов обнаружили нового кандидата в неактивную черную дыру звездной массы, входящую в широкую двойную систему. Ее компаньоном является ничем не примечательная одиночная солнцеподобная звезда. Препринт доступен на сайте arXiv.org. "
https://nplus1.ru/news/2022/10/22/bison-bonasus,Сергей Коленов,У завезенных в Великобританию зубров родился первый теленок,"В стаде зубров, которых минувшим летом выпустили в британском заказнике Блин-Вудс, случилось пополнение. Одна из трех живущих здесь самок неожиданно родила теленка. Как отмечает The Guardian, это первый в Великобритании детеныш зубра, появившийся на свет в дикой природе. Интересно, что никто из смотрителей не подозревал, что зубриха беременна. Судя по всему, детеныш был зачат еще в сафари-парке в Ирландии, откуда самка прибыла в Великобританию.  По вине человека Великобритания лишилась большинства видов крупных животных. Например, волки (Canis lupus) были истреблены здесь в середине XVIII века, бурые медведи (Ursus arctos) — около тысячи лет назад, а кудрявые пеликаны (Pelecanus crispus) — около двух тысяч лет назад. Без многих из них британские экосистемы не могут нормально функционировать. Например, там, где не осталось крупных диких травоядных, луга зарастают кустарниками и лесами, а в регионах, где травоядные сохранились, но нет хищников, которые регулировали бы их численность, леса страдают от чрезмерного выедания древесного подроста. Чтобы сбалансировать природные сообщества Британских островов и сделать их более устойчивыми перед лицом меняющегося климата, специалисты по охране природы пытаются вернуть на архипелаг некоторые из истребленных видов или их экологические аналоги. Они уже успешно реинтродуцировали сюда бобров (Castor fiber), серых журавлей (Grus grus) и дроф (Otis tarda).  А минувшим летом стартовал один из самых амбициозных проектов по возвращению диких животных в Великобританию. Сотрудники Фонда дикой природы графства Кент выпустили в заказнике Блин-Вудс трех самок зубров (Bison bonasus) из сафари-парков Шотландии и Ирландии (до конца октября к стаду присоединится взрослый самец из Германии; изначально его прибытие ожидалось еще в августе, но задержалось из-за последствий брекзита). Хотя зубры никогда не жили на Британских островах, предполагается, что они смогут заменить степных бизонов (B. priscus), которые обитали здесь еще около шести тысяч лет назад и были истреблены людьми. Согласно плану, дикие быки проредят бывшую сосновую плантацию и преобразуют ее в полноценный лес, который будет эффективнее улавливать углерод и станет средой обитания для разнообразных растений и мелких животных. Специалисты надеялись, что после прибытия самца зубры начнут размножаться и будут приносить по теленку в год, пока численность группы не достигнет десяти особей. Однако пополнение в стаде произошло намного раньше, чем кто-либо предполагал. В конце августа — начале сентября смотрители заказника заметили, что одна из самок стала больше есть, а ее вымя припухло. После этого она несколько дней не показывалась из леса. Обеспокоенный смотритель Том Гиббс (Tom Gibbs) отправился на поиски зубрихи и вскоре нашел ее среди густой растительности. А рядом с самкой стоял новорожденный теленок, появления которого никто не ожидал. Именно для того, чтобы принести потомство, его мать и скрылась от посторонних глаз. Когда зубрих только привезли в Великобританию, никто не подозревал, что одна из них ждет теленка. Дело в том, что беременность у самок зубров трудно определить по внешним признакам — это адаптация, которая позволяет не привлекать к будущей матери и ее потомству внимание хищников. Самка, которая родила теленка, прибыла из сафари-парка в Ирландии, так что он был зачат именно там. По словам смотрителей, теленок, оказавшийся самкой, родился девятого сентября. Он быстро растет, много бегает и пытается пробовать твердую пищу, например, листья. Когда мать детеныша отдыхает, за ним присматривает другая самка, которая вылизывает его и защищает, если чувствует угрозу. Смотрители надеются, что самец, который прибудет в заказник уже в ближайшее время, тоже уживется с зубренком.  Ранее мы рассказывали о том, как установленная в лесу на юго-западе Лондона фотоловушка запечатлела лесную куницу (Martes martes). Это первая встреча представителя данного вида в британской столице более чем за сто лет. Хотя прежде лесные куницы были широко распространены в Великобритании, из-за охоты они почти вымерли в этой стране и сохранились лишь в Шотландии и отдельных регионах Англии и Уэльса.  Археологи исследовали керамику периода Дзёмон возрастом от 4000 до 5300 лет, обнаруженную в Японии. В пяти артефактах они нашли следы тараканьих оотек. Одну из них отложили японские тараканы (Periplaneta japonica), остальные — похоже, дымчатые тараканы (P. fulinginosa). Ранее считалось, что последний вид завезли в Японию лишь в XVIII–XIX веках. Об этом сообщается в статье, опубликованной в Journal of Archaeological Science: Reports. "
https://nplus1.ru/news/2022/10/21/ixpe-map-polarization,Александр Войтюк,Астрономы создали первую карту поляризации рентгеновского излучения остатка сверхновой,"Астрономы при помощи рентгеновской космической обсерватории IXPE составили первую карту поляризации рентгеновского излучения остатка сверхновой Кассиопея А, сообщается на сайте NASA. Данные наблюдений подтверждают идеи о радиально ориентированном магнитном поле внутри остатка, а также об ускорении частиц, генерирующих рентгеновское синхротронное излучение, в областях ударных волн. Препринт результатов наблюдений доступен на сайте arXiv.org. Остатки сверхновых интересны для астрофизиков не только с точки зрения исследования эволюции звезд и химического обогащения межзвездной среды, но и с точки зрения исследования процессов ускорения заряженных частиц в них. Подобные объекты являются источниками радиосинхротронного излучения, испускаемого релятивистскими электронами, которые, как теперь известно, ускоряются за счет процесса диффузионного ускорения во время многократного пересечения фронта ударных волн. От некоторых остатков также регистрируется рентгеновское синхротронное излучение, что указывает на то, что электроны с энергиями 10–100 тераэлектронвольт были ускорены недавно и за короткий промежуток времени, причем для достижения таких высоких энергий требуются сильно турбулентные магнитные поля. Таким образом, остатки сверхновых рассматриваются как хорошие кандидаты на роль ускорителей галактических космических лучей. Понять связь между параметрами магнитного поля в разных частях остатка сверхновой (в частности, в ударных волнах) и свойствами самого остатка и его способностью ускорять космические лучи могут помочь измерения поляризации излучения от сверхновой. В настоящее время эта задача решается при помощи обсерватории IXPE (Imaging X-ray Polarimetry Explorer), которая отправилась на околоземную орбиту в прошлом году и проводит измерения поляризации рентгеновского излучения от нейтронных звезд разных типов, двойных систем с черными дырами, активных ядер галактик, квазаров и остатков сверхновых.  Группа астрономов во главе с Джакко Винком (Jacco Vink) из Амстердамского университета представила первую карту поляризации рентгеновского излучения энергией 3–6 килоэлектронвольт от остатка сверхновой Кассиопея А, составленной по данным IXPE. Ученые также использовали данные наблюдений за остатком рентгеновского телескопа «Чандра». Кассиопея А представляет собой яркий и молодой (около 350 лет) остаток от взрыва массивной звезды, расположенный на расстоянии 11 тысяч световых лет от Солнца. В ее центре находится нейтронная звезда, окруженная расширяющейся туманностью.  Степень поляризации синхротронного рентгеновского излучения от остатка составила около 2-5 процентов, что меньше, чем в случае радиоизлучения, что согласуется с идеей регионов с турбулентным магнитным полем. Измеренный угол поляризации излучения соответствует радиально ориентированному магнитному полю, что аналогично результатам, полученным в ходе радионаблюдений. При этом источниками рентгеновского синхротронного излучения, в основном, являются тонкие области, связанные с ударными волнами вблизи внешнего края остатка, в то время как радиосинхротронное излучение исходит из всех частей туманности. Ранее мы рассказывали о том, как IXPE впервые измерил поляризацию излучения магнитара.  Астрономы при помощи наземных телескопов подтвердили открытие новой планетарной туманности в Млечном Пути, которая является остатком звезды в 2,8 раза массивнее Солнца. Кинематический возраст туманности оказался рекордно большим и составил 78 тысяч лет, она входит в состав рассеянного звездного скопления. Статья опубликована в журнале Astrophysical Journal Letters. "
https://nplus1.ru/news/2022/10/21/crystalls-remember-shape,Михаил Бойм,Кристаллы из золота и ДНК восстановились после деформации,"Химики из США модифицировали наночастицы золота гибкими фрагментами одноцепочечной ДНК, и из раствора наночастиц выпали кристаллы. Оказалось, что они быстро деформируются на воздухе, но при добавлении воды легко восстанавливают свою структуру и форму. Исследование опубликовано в Nature. Слово «кристалл» в первую очередь ассоциируется с чем-то твердым и хрупким. И действительно, большинство кристаллических веществ не так просто деформировать: скорее кристалл расколется, чем погнется. Причем это верно и для ионных кристаллов, у которых узлы кристаллической решетки занимают ионы, и для молекулярных кристаллов, у которых в узлах находятся целые молекулы. Тем не менее химики умеют получать кристаллы, которые легко деформировать. Обычно они построены из молекул с гибкой структурой и большим количеством невалентных связей (например, из цепей ДНК). Такие кристаллы разбить не получится — они вязкие и эластичные. А чтобы получить из деформированного объекта исходный кристалл, нужно заново провести кристаллизацию. Но химики под руководством Чада Миркина (Chad Mirkin) из Северо-Западного университета наткнулись на кристаллы, способные возвращаться к исходной форме после деформации. Они смешали наночастицы золота с фрагментами одноцепочечной ДНК (каждая цепь — 18 связанных нуклеотидов с общей длинной около 6 нанометров) в водном буферном растворе, который затем нагрели до 65 градусов Цельсия. Причем цепи изначально модифицировали так, чтобы концы половины цепей были комплементарны концам другой половины и могли прочно связываться в кристалле. Полученные раствор медленно охладили до комнатной температуры, и в результате образовались кристаллы. Впоследствии химики использовали наночастицы разного размера (5 и 10 нанометров) и разную скорость охлаждения, чтобы получить больше образцов для исследования. За полученными кристаллами ученые наблюдали в оптический микроскоп и вскоре обнаружили, что при испарении воды кристаллы деформировались и полностью теряли свою форму. Но когда химики накапали воды на предметное стекло с деформированными образованиями, они за несколько секунд возвратились к исходной кристаллической форме. Причем даже через 6 циклов деформирования-восстановления процесс продолжал происходить. По мнению химиков, при высушивании деформация происходила из-за того, что водородные связи с молекулами воды внутри кристалла разрушались. Но несмотря на это комплементарные цепи ДНК все равно оставались достаточно близко друг к другу, чтобы исходная структура восстанавливалась при добавлении воды. Чтобы подробнее изучить процесс деформации, химики исследовали их кристаллы с помощью рентгеноструктурного анализа. Они выяснили, что при частичном испарении воды кристаллическая структура действительно теряется — пики на дифракционной картине становятся неупорядоченными. А при полном испарении воды материал вообще становится аморфным. Но при добавке воды дифракционная картина возвращается к своему первоначальному виду. Так химики показали, что некоторые кристаллические материалы на основе ДНК могут проявлять эффект памяти формы. И чтобы кристаллы могли восстанавливаться после деформации, они должны быть построены из гибких молекулярных структур.  С помощью лазера на некоторых кристаллах можно вырезать изображения. О том, как химики вырезали на сокристалле букву «М», знак мира, кубок Стэнли и изображение птицы с геоглифа Наски, мы недавно рассказывали. А о том, с какими проблемами последнее время сталкивается кристаллохимия как наука, можно прочитать в нашем материале «Деплатформинг структур».  Ученые создали синтетический цитоскелет в объеме реальных клеток, говорится в исследовании, опубликованном в журнале Nature Chemistry. Эта конструкция оказалась способна к управляемой сборке — в зависимости от наличия вокруг нее АТФ или специфических ДНК фрагментов. Кроме того, авторы показали, что искусственный цитоскелет потенциально подходит для внутриклеточного транспорта мембранных пузырьков. "
https://nplus1.ru/news/2022/10/21/pandion-haliaetus,Сергей Коленов,Смоленские скопы поселились в брошенном гнезде аистов,"Скопы в одной из смоленских деревень вывели птенцов в брошенном гнезде белых аистов. Обычно эти хищники строят гнезда сами, однако в этот раз они решили воспользоваться вакантным жилищем. О необычном случае рассказывается в статье для журнала «Московка».  Скопы (Pandion haliaetus) — одни из самых распространенных птиц в мире. Они обитают на всех континентах кроме Антарктиды, а также на многих островах. Обычно скопы селятся рядом с реками, озерами и морскими побережьями, где они могут охотиться на свою основную добычу — рыбу. Гнезда эти птицы строят на деревьях, опорах линий электропередач или, реже, на скалах. Типичное гнездо скоп представляет собой огромную кучу веток, водорослей и другого растительного материала. Как правило, семейные пары ежегодно возвращаются к одному и тому же гнезду, которое может использоваться на протяжении нескольких десятилетий. За гнездовым поведением скоп можно в прямом эфире понаблюдать, подключившись к трансляции из австралийского города Порт-Линкольн. В гнезде местной пары сейчас подрастают два птенца.  Впрочем, порой скопы изменяют характерным для вида привычкам. Один из примеров такого поведения обнаружила орнитолог-любитель Елена Андреева (Elena Andreeva), которая каждое лето обследует гнезда белых аистов (Ciconia ciconia) в нескольких районах Смоленской и Тверской областей. Минувшим летом она заметила, что в деревне на востоке Смоленской области в пустующем несколько лет гнезде аистов на водонапорной башне поселилась пара скоп (точное место не разглашается, чтобы защитить птиц от лишнего беспокойства). Рядом с деревней есть богатая рыбой река, так что у скоп было достаточно пищи, чтобы успешно вывести двух птенцов. Интересно, что это не первый случай, когда скопы используют для размножения гнезда аистов. Например, орнитологи сообщили в фейсбуке*, что прошлом году в Беларуси обнаружили птенцов скоп в брошенном аистином гнезде на столбе. Ранее мы рассказывали о других необычных наблюдениях за птицами в России. Например, в начале минувшего июля стало известно о том, что в Москве впервые вывели птенцов утки-мандаринки (Aix galericulata), родина которых находится в Восточной Азии. А в конце того же месяца появились новости о делавэрской чайке (Larus delawarensis) родом из Северной Америки, загнездившейся в Нижнем Новгороде. Ее партнером стала местная сизая чайка (Larus canus), с которой они вывели гибридное потомство. *Принадлежит компании Meta, деятельность которой в России запрещена.  Австралийские зоологи в деталях описали охоту паука-тенетника Euryopis umbilicata на муравьев. Оказалось, что эти хищники прыгают на добычу, заарканивают ее липкой нитью, а затем падают вниз со ствола дерева и прикрепляются к нему той же нитью. Вся атака занимает меньше секунды, после чего паук начинает ходить вокруг жертвы и оплетать ее паутиной, чтобы обездвижить, убить и съесть. Как отмечается в статье для журнала Proceedings of the National Academy of Sciences, обычно пауки боятся нападать на такую опасную добычу, как муравьи. Однако E. umbilicata настолько хорошо приспособились охотиться на этих насекомых, что 85 процентов их атак заканчиваются успешно. "
https://nplus1.ru/news/2022/10/21/shark-spa,Ирина Никифорова,Тунцы выстроились в очередь на чесание об акул,"Несмотря на опасность быть съеденными, тунцы различных видов для соблюдения личной гигиены предпочитают чесать жабры, глаза и плавники об акул, а не о своих сородичей. Ученые изучили данные подводных стереофонических видеосистем (BRUVS) и обнаружили, что тунцы даже становятся в очередь, чтобы почесаться об акулью кожу. Статья опубликована в PLoS One. На приспособленность и выживание живых организмов значительное влияние оказывают симбиотические отношения между разными видами. Порой это взаимодействие принимает самые причудливые формы — например, большие панды для защиты от холода используют конский навоз. Однако поведенческие взаимодействия пелагических рыб до сих пор оставались малоизученными. Являясь хозяевами хорошо известных и впервые открытых паразитов, рыбы, обитающие вдали от рифов и прибрежной зоны, имеют не так уж много возможностей избавиться от вредителей.  Кристофер Томпсон (Christopher Thompson) из Университета Западной Австралии вместе с коллегами исследовал записи с систем подъемной съемки BRUVS из 36 точек мира в период с 2012 по 2019 год. Эти данные собрали в рамках широкой программы по изучению экологических особенностей пелагических сообществ Тихого, Индийского и Атлантического океана. В кадр попали разнообразные костистые рыбы, которые с разной степенью успешности пытались почесаться о сородичей или об акул. Акулами, которых рыбы выбрали в качестве скребковой поверхности, стали голубая акула (Prionace glauca), шелковистая акула (Carcharhinus falciformis), лососевая акула (Lamnidae) и акула-мако (Isurus oxyrhinchus). При этом об голубую акулу рыбы попытались почесаться в более чем половине случаев (58,5 процентов). Пелагические рыбы часто становятся добычей акул. Тем не менее, в 84 процентах случаев рыбы предпочли почесаться именно об акул, игнорируя своих сородчией. Ради того, чтобы почесаться о хищника, рыбы оказались даже готовы вставать в очередь. Такое поведение зафиксировали у желтоперого тунца (Thunnus albacares) и южного голубого тунца (Thunnus maccoyii). Эти рыбы всегда приближались к акулам сзади, на уровне центра хвостового плавника. Когда расстояние между акулой и тунцом составляло менее одной длины тела последнего, тунец замирал, выжидая взмах акульего хвоста. После этого тунец быстро приближался к акуле, закрыв жабры и расправив плавники, и выгибал свое тело дугой, чтобы прижаться к акуле максимально большей площадью тела. Затем тунец резко разворачивался в другую сторону и быстро удалялся от акулы, после чего вставал в хвост цепочки других тунцов, ожидающих своей очереди почесаться. Менее организованы в этом отношении оказались радужные макрели (Elagatis bipinnulata) — они образовывали стайку вблизи акульего хвоста и время от времени хаотично подплывали ближе к акуле, подставляя различные части тела. Чесаться об акулу не захотел только полосатый тунец (Katsuwonus pelamis). Ученые связывают это с тем, что полосатый тунец значительно меньше остальных: длина его тела составляет лишь 22,6–25,7 процентов от длины теле акул, зарегистрированных на записях. Исследования содержимого желудка акул, показали, что 75 процентов добычи акул составляют существа, размер тела которых составляет от 20 до 36 процентов длины тела акулы — а значит, полосатый тунец попадает в этот диапазон. В то же время остальные тунцы были лишь вдвое меньше акулы, об которую они предпочли почесаться: в среднем длина их тел составила 54 ± 2,85 процента от длины акулы. О своих сородичей рыбы чесались гораздо реже. Рыбы предпочитали приближаться к сородичам сзади сверху, выбирая слепую зону того, о кого они собирались почесаться. Но даже не смотря на это в более чем половине (75 процентов) случаев рыба, об которую намеревались почесаться, избегала воздействия, пытаясь уклониться или уплыть прочь.  Ученые связывают такое нежелание помогать сородичам с тем, что один и тот же вид рыб подвержен воздействию одних и тех же паразитов. Соответственно, те паразиты, от которых одна рыба попыталась избавиться при трении, могут тут же прикрепиться к другой. Более того, поврежденный трением слизистый слой на коже рыбы также снижает защиту от паразитических организмов. Облигатные эктопаразиты, как правило, очень специфичны для хозяина — что означает, что акулы могут вовсе не иметь общих паразитов с тунцами. Кроме того, кожа акул, использовавшаяся в доиндустриальную эпоху в качестве наждачной бумаги, состоит из мелких зубоподобных структур, называемых дермальными дентикулами. Ее абразивные свойства обеспечивают идеальную поверхность, с помощью которой рыба может избавиться от эктопаразитов и мертвых клеток кожи. Изменения климата и деятельность человека значительно влияют на жизнь и репродукцию рыб. Ученые предполагают, что истребление акул может негативно влиять на популяцию рыб, которые являются объектом промысла, поскольку нарушает существующие симбиотические отношения.  Китайские ученые опробовали новый метод геномной инженерии: они научились сшивать мышиные хромосомы между собой. Оказалось, что, если хромосомы не очень большие, то их несложно склеить и получить мышонка с нечетным количеством хромосом. Такие животные могут вырасти здоровыми и плодовитыми и скрещиваться с обычными лабораторными мышами. А в третьем поколении исследователям удалось получить мышонка без двух хромосом сразу — то есть с 19 парами вместо положенных 20. Работа опубликована в журнале Science. "
https://nplus1.ru/news/2022/10/21/dimorphos-second-tail,Александр Войтюк,Астероид Диморф обзавелся вторым кометоподобным хвостом,"Космический телескоп «Хаббл» зафиксировал появление у астероида Диморф второго кометоподобного хвоста из пыли и обломков. Это произошло спустя несколько дней после тарана астероида зондом DART, причины возникновения дополнительного хвоста пока неясны, сообщается на сайте телескопа. 27 сентября 2022 года 550-килограммовый зонд DART протаранил не представлявший угрозы для нашей планеты 170-метровый астероид Диморф, входящий в двойную систему Дидим. Это был первый практический эксперимент по планетарной защите Земли от опасных астероидов. В результате ученые определили, что метод кинетического тарана действительно эффективен — период вращения Диморфа вокруг Дидима изменился на 32 минуты. За тараном вели наблюдения кубсат LICIACube, наземные и околоземные обсерватории, которые зафиксировали вспышку яркости астероида, расширение пылевого облака, а затем и образование кометоподобного хвоста.  Космический телескоп «Хаббл» вел наблюдения за Диморфом после тарана в общей сложности 18 раз. На снимках астероида, полученных в период с 2 по 8 октября, ученые заметили появление второго хвоста из пыли и обломков севернее основного хвоста, что стало неожиданностью, хотя подобное явление наблюдалось у некоторых комет и активных астероидов. Пока у ученых нет объяснения причины появления второго хвоста — это может быть связано с тем, что Диморф не одиночный астероид, влиянием на выброшенный с его поверхности материал солнечного ветра, вращением астероида, а также эффектом большой рыхлости тела, которое относится к «кучам щебня». В последнем случае малая сила сцепления частиц обломочного материала, из которых состоит такой астероид, была доказана для другого представителя «куч щебня» — астероида Бенну. Подробнее о методах планетарной защиты и деталях проекта DART, можно узнать в материале «Вломи ему, Дарт!».  Астрономы при помощи космического телескопа Gaia и наземных телескопов обнаружили нового кандидата в неактивную черную дыру звездной массы, входящую в широкую двойную систему. Ее компаньоном является ничем не примечательная одиночная солнцеподобная звезда. Препринт доступен на сайте arXiv.org. "
